,battery_power,bluetooth,clock_speed,dual_sim,front_camera,four_g,int_memory,m_dep,mobile_wt,n_cores,primary_camera,px_height,px_width,ram,screen_height,screen_width,talk_time,three_g,touch_screen,wifi,price_range
550,1408,yes,2.1,yes,10,no,45,0.9,89,5,14,613.0,1088,3952,8,6.0,3,no,no,yes,very_high_cost
551,1900,yes,2.0,yes,1,no,41,0.5,190,8,6,912.0,1596,850,5,1.0,4,yes,yes,yes,medium_cost
552,726,no,2.9,no,0,no,43,0.1,101,8,0,666.0,760,1446,17,2.0,8,yes,yes,no,low_cost
553,1544,no,2.3,no,12,yes,45,0.1,113,8,20,236.0,857,1300,8,7.0,18,yes,yes,no,medium_cost
554,1454,yes,1.6,no,6,yes,21,0.2,160,4,10,186.0,1100,719,14,10.0,10,yes,yes,yes,low_cost
555,1230,yes,2.2,yes,6,no,26,0.8,123,5,7,416.0,676,988,11,5.0,9,no,yes,yes,low_cost
556,1552,no,1.2,no,10,yes,53,0.3,180,8,18,430.0,658,2606,13,6.0,12,yes,no,no,high_cost
557,1519,no,2.1,no,0,no,32,0.7,200,1,10,168.0,1239,2912,11,10.0,15,yes,yes,no,high_cost
558,723,yes,1.9,no,4,no,30,0.3,102,1,7,1467.0,1901,2339,19,9.0,17,no,yes,yes,high_cost
559,1191,no,2.4,yes,2,no,13,0.9,169,1,7,179.0,1813,1028,14,6.0,8,yes,yes,yes,low_cost
560,1168,no,1.3,no,9,no,61,0.1,90,8,10,159.0,1578,3173,9,4.0,17,no,no,yes,very_high_cost
561,1229,no,0.5,yes,15,no,14,0.8,191,2,16,120.0,1878,1667,17,6.0,17,no,no,yes,medium_cost
562,1758,yes,0.5,no,11,yes,13,0.6,190,8,14,762.0,1864,1897,6,2.0,15,yes,no,no,high_cost
563,1290,no,0.5,no,0,no,3,0.1,143,6,4,600.0,1109,1214,9,8.0,15,no,yes,yes,medium_cost
564,574,no,2.8,yes,16,no,38,0.1,90,6,17,286.0,1171,3269,8,7.0,10,no,yes,no,high_cost
565,1271,yes,0.5,no,12,no,32,0.1,113,7,15,1350.0,1949,445,15,14.0,14,no,no,yes,low_cost
566,1170,yes,1.2,no,4,no,30,0.4,83,8,15,27.0,1722,1073,6,4.0,8,yes,yes,no,low_cost
567,1269,yes,1.3,no,14,no,52,0.8,118,2,15,1597.0,1920,665,18,5.0,5,no,no,no,medium_cost
568,1288,no,2.8,yes,15,no,50,0.1,121,2,20,1177.0,1809,3129,17,6.0,2,no,no,no,very_high_cost
569,1366,yes,0.7,yes,0,yes,34,0.1,150,2,9,402.0,964,3501,13,11.0,3,yes,no,no,very_high_cost
570,1572,yes,0.8,yes,7,yes,8,0.8,169,5,8,577.0,1237,3461,6,3.0,10,yes,yes,yes,very_high_cost
571,1627,no,0.9,yes,9,yes,32,0.1,180,6,16,52.0,1082,3206,12,6.0,16,yes,yes,no,very_high_cost
572,1701,yes,0.5,no,13,yes,46,0.9,115,2,15,364.0,828,3717,11,5.616666666666666,10,yes,yes,no,very_high_cost
573,1900,yes,0.5,yes,0,yes,55,0.9,171,1,1,934.0,1241,3917,15,5.0,18,yes,no,yes,very_high_cost
574,1974,no,1.0,no,4,no,24,0.3,80,7,13,250.0,545,861,7,4.0,6,yes,no,yes,low_cost
575,1197,yes,0.5,yes,9,no,20,0.1,129,5,10,214.0,1710,2885,19,7.0,14,yes,yes,yes,high_cost
576,587,yes,2.3,yes,4,no,6,0.7,170,1,16,612.0,1793,2777,9,2.0,14,yes,yes,no,high_cost
577,934,no,1.1,no,7,no,24,0.8,112,5,12,1111.0,1463,1017,12,7.0,9,no,no,yes,low_cost
578,1195,no,2.0,yes,1,yes,23,0.1,82,4,9,163.0,1100,980,13,9.0,17,yes,no,no,low_cost
579,1853,yes,1.0,no,2,no,23,0.4,92,1,15,202.0,1951,2775,14,4.0,17,yes,no,no,very_high_cost
580,1164,no,1.0,no,4,yes,19,0.9,95,8,18,729.0,1704,3309,15,3.0,3,yes,no,yes,very_high_cost
581,1512,yes,0.5,no,8,yes,18,0.1,88,3,17,1079.0,1897,3607,12,10.0,6,yes,yes,yes,very_high_cost
582,1232,no,2.9,yes,1,yes,24,0.3,169,5,17,361.0,809,1257,16,10.0,16,yes,no,no,low_cost
583,1813,yes,0.6,yes,0,yes,5,0.2,198,3,8,338.0,1306,759,9,3.0,14,yes,yes,no,low_cost
584,946,yes,2.6,yes,17,no,5,0.1,166,3,20,1698.0,1771,3720,15,7.0,4,no,yes,no,very_high_cost
585,739,yes,2.3,yes,2,yes,58,0.1,88,3,4,1052.0,1536,475,7,6.0,6,yes,no,yes,low_cost
586,704,yes,2.7,no,8,yes,29,0.2,80,1,10,1108.0,1509,1122,9,3.0,10,yes,yes,yes,low_cost
587,1663,yes,0.5,no,0,no,40,0.6,147,4,15,951.0,1545,1336,8,5.0,15,yes,no,no,medium_cost
588,1966,yes,1.4,yes,2,no,40,0.9,185,8,18,1197.0,1987,1185,11,2.0,20,no,yes,no,high_cost
589,1219,no,1.0,yes,0,no,17,0.7,196,5,4,473.0,1022,705,11,3.0,6,no,yes,yes,low_cost
590,612,yes,0.7,no,6,no,35,0.6,181,5,12,1294.0,1337,3169,14,9.0,6,no,no,no,high_cost
591,1658,yes,1.4,no,0,yes,39,0.7,182,1,5,410.0,522,3483,10,1.0,15,yes,no,yes,very_high_cost
592,1263,no,0.5,no,12,no,64,0.3,175,5,18,178.0,1883,1183,14,3.0,17,no,no,yes,medium_cost
593,1395,yes,2.8,no,0,yes,55,0.6,118,3,1,782.0,1787,3373,11,2.0,16,yes,yes,no,very_high_cost
594,621,yes,2.7,yes,0,no,54,0.1,151,4,20,434.0,910,2801,6,1.0,5,yes,yes,yes,high_cost
595,652,no,0.5,yes,1,no,58,0.6,142,3,2,464.0,781,565,18,12.0,9,no,no,yes,low_cost
596,1175,no,0.6,no,10,no,25,0.1,145,2,12,137.0,1501,3153,9,4.0,12,yes,no,no,high_cost
597,561,yes,1.0,no,0,no,11,0.1,163,8,10,492.0,1176,3421,16,2.0,5,yes,yes,yes,high_cost
598,1137,no,2.2,no,6,yes,3,0.9,173,5,7,1250.0,1285,316,15,14.0,17,yes,no,no,low_cost
599,1835,yes,2.3,no,4,yes,11,0.1,193,7,13,385.0,583,448,18,17.0,14,yes,no,no,low_cost
600,1170,no,2.9,yes,2,no,40,0.4,169,6,5,427.0,684,2366,16,8.0,2,yes,yes,yes,medium_cost
601,1595,yes,0.8,yes,0,yes,44,0.7,85,4,20,1024.0,1838,3881,14,10.0,9,yes,no,yes,very_high_cost
602,1719,yes,2.0,no,0,no,12,0.3,122,8,7,240.0,904,462,6,3.0,5,no,no,no,low_cost
603,1770,no,2.3,yes,0,no,7,0.8,128,7,6,886.0,1552,1480,6,1.0,17,yes,no,no,medium_cost
604,1312,no,0.5,yes,0,yes,28,0.8,163,2,0,1233.0,1854,1087,17,16.0,14,yes,no,no,medium_cost
605,1878,no,1.5,yes,5,yes,56,0.3,139,5,13,183.0,559,2711,8,2.0,3,yes,yes,yes,high_cost
606,1871,yes,2.0,no,7,yes,20,0.1,81,7,14,88.0,1682,2144,13,12.0,12,yes,yes,yes,high_cost
607,922,no,1.5,yes,1,yes,35,0.9,188,7,15,1016.0,1383,1165,19,6.0,4,yes,yes,yes,low_cost
608,1975,yes,1.5,no,6,yes,16,0.9,128,8,11,80.0,655,2998,5,4.0,13,yes,yes,no,high_cost
609,1212,no,2.6,no,1,yes,46,0.3,102,4,8,611.0,1715,2249,14,3.0,4,yes,yes,yes,high_cost
610,1430,yes,0.9,no,3,no,56,0.1,179,3,5,569.0,906,752,17,8.0,17,no,no,yes,low_cost
611,1958,yes,1.9,yes,0,no,4,0.2,190,2,3,304.0,637,1409,16,5.0,3,no,no,no,medium_cost
612,1836,yes,2.1,yes,0,yes,30,0.2,184,7,15,276.0,1230,3072,7,3.0,5,yes,yes,no,very_high_cost
613,557,yes,1.6,no,0,no,24,0.5,125,3,0,1131.0,1315,1305,12,8.0,3,yes,no,yes,low_cost
614,539,yes,0.6,yes,9,no,21,0.1,145,7,14,551.0,599,3597,14,5.0,9,no,no,no,high_cost
615,880,no,0.5,yes,1,no,44,0.5,172,8,15,436.0,1302,3132,8,7.0,6,no,yes,yes,high_cost
616,1369,yes,1.8,yes,6,no,34,0.5,162,1,7,553.0,727,3856,18,4.0,18,no,yes,yes,very_high_cost
617,1109,yes,2.7,yes,1,no,39,0.4,98,1,9,1391.0,1787,1524,15,10.0,7,yes,yes,yes,medium_cost
618,843,no,1.8,yes,0,no,16,0.1,166,5,6,981.0,1096,3673,12,1.0,20,yes,no,yes,very_high_cost
619,598,no,2.3,yes,7,no,21,0.7,196,2,10,680.0,1173,3293,8,4.0,7,yes,no,yes,high_cost
620,972,yes,2.7,yes,1,no,5,1.0,126,4,2,687.0,816,3035,12,7.0,19,yes,no,yes,high_cost
621,1944,yes,0.5,no,5,yes,36,0.1,197,6,18,1060.0,1970,584,17,14.0,13,yes,yes,no,medium_cost
622,1225,no,0.7,yes,0,yes,2,0.6,138,7,1,217.0,1101,2675,12,11.0,15,yes,yes,no,high_cost
623,644,yes,1.3,yes,7,yes,30,0.5,114,1,16,1140.0,1654,2382,9,5.616666666666666,19,yes,no,yes,high_cost
624,1919,no,1.5,no,5,yes,48,0.8,150,4,6,304.0,1191,1391,19,13.0,12,yes,no,yes,medium_cost
625,501,no,2.3,no,12,yes,54,0.3,131,4,19,504.0,1089,2346,13,12.0,2,yes,no,yes,medium_cost
626,1620,yes,2.2,yes,0,yes,30,0.2,185,3,3,832.0,1033,606,6,5.616666666666666,18,yes,no,no,low_cost
627,1227,yes,1.1,yes,0,no,34,0.2,130,3,3,935.0,1781,1324,7,3.0,12,no,yes,yes,medium_cost
628,1359,yes,0.5,yes,1,yes,58,0.5,107,6,3,446.0,901,1076,16,8.0,4,yes,yes,yes,low_cost
629,1914,no,0.7,no,1,no,35,0.6,118,8,2,942.0,1701,643,17,1.0,8,yes,no,yes,medium_cost
630,1645,yes,1.8,no,1,no,21,0.7,123,7,2,897.0,1308,783,10,8.0,20,yes,no,no,low_cost
631,1063,yes,1.1,no,0,yes,26,0.8,101,5,2,1208.0,1232,3809,17,16.0,5,yes,no,yes,very_high_cost
632,946,no,2.1,no,0,yes,19,0.2,154,8,0,159.0,630,2104,7,4.0,16,yes,yes,no,medium_cost
633,1231,no,1.2,yes,5,no,54,0.8,185,3,10,632.0,1184,1762,5,3.0,6,yes,yes,no,medium_cost
634,1397,no,2.9,yes,13,no,9,0.5,87,6,18,1308.0,1991,3137,12,1.0,11,yes,yes,yes,very_high_cost
635,701,yes,0.7,no,7,no,15,0.5,160,3,11,1002.0,1256,1756,6,3.0,17,yes,yes,yes,medium_cost
636,570,yes,0.5,yes,2,no,9,0.3,111,7,5,1331.0,1917,3663,14,10.0,14,no,no,no,very_high_cost
637,1993,yes,0.5,no,10,yes,27,0.3,147,8,11,150.0,510,2437,14,5.616666666666666,9,yes,no,no,high_cost
638,955,no,0.5,yes,4,no,43,0.9,143,5,8,1248.0,1511,1432,12,9.0,9,yes,yes,yes,medium_cost
639,924,no,0.5,yes,0,yes,47,0.3,167,8,6,108.0,1813,1620,17,15.0,12,yes,no,no,medium_cost
640,600,no,0.5,no,0,no,14,0.8,112,5,2,320.0,747,1655,18,5.616666666666666,9,no,no,no,low_cost
641,518,no,0.8,yes,0,no,3,0.1,178,7,1,437.0,1947,2832,5,5.616666666666666,8,yes,no,yes,high_cost
642,1063,yes,2.5,no,0,yes,31,0.9,95,6,10,295.0,935,961,16,6.0,5,yes,yes,no,low_cost
643,920,yes,0.5,no,2,no,46,0.8,149,3,3,1058.0,1421,2608,6,5.616666666666666,2,no,no,yes,high_cost
644,1715,no,1.9,no,4,yes,3,0.1,171,5,6,79.0,1652,514,7,4.0,13,yes,no,no,low_cost
645,1841,yes,1.3,yes,6,no,14,0.6,167,8,8,593.0,672,2304,7,1.0,18,no,no,yes,high_cost
646,543,yes,0.5,yes,4,yes,60,0.7,132,5,7,693.0,1031,933,14,5.616666666666666,5,yes,yes,no,low_cost
647,1762,yes,2.7,yes,13,yes,25,0.9,189,1,14,300.0,527,1896,14,10.0,20,yes,yes,yes,medium_cost
648,1112,yes,0.5,yes,1,no,53,0.6,121,4,16,234.0,739,3655,7,3.0,20,yes,yes,no,very_high_cost
649,709,yes,2.0,yes,0,no,35,0.1,136,1,0,1545.0,1596,1973,12,9.0,16,no,yes,yes,medium_cost
650,1315,yes,2.6,no,7,no,64,0.8,128,7,16,59.0,575,3278,6,3.0,13,no,no,no,high_cost
651,1762,yes,2.5,no,10,yes,15,0.3,107,8,11,1103.0,1364,2183,8,3.0,11,yes,yes,no,high_cost
652,1462,yes,1.7,yes,1,no,25,0.2,182,7,18,91.0,1478,824,15,5.0,13,yes,no,yes,low_cost
653,571,no,1.6,yes,8,no,35,0.2,186,7,20,177.0,1282,2598,13,5.0,8,yes,yes,no,medium_cost
654,666,yes,0.5,yes,7,yes,54,0.4,81,3,13,58.0,1353,1254,15,9.0,9,yes,yes,yes,low_cost
655,1994,no,1.5,yes,2,yes,7,0.5,146,8,7,447.0,1435,3622,7,5.616666666666666,20,yes,no,yes,very_high_cost
656,1583,yes,2.1,yes,11,no,14,0.7,148,7,16,942.0,1651,1704,17,13.0,2,yes,no,yes,high_cost
657,1778,no,1.4,yes,3,yes,45,1.0,132,4,17,88.0,516,1624,15,13.0,9,yes,yes,no,medium_cost
658,1926,yes,1.1,no,13,yes,50,0.2,179,6,17,371.0,1000,3809,17,12.0,17,yes,yes,no,very_high_cost
659,966,yes,0.6,no,9,yes,50,0.2,117,4,10,1446.0,1754,2574,10,1.0,5,yes,no,yes,high_cost
660,568,no,2.0,no,1,no,36,0.3,179,3,4,181.0,1703,950,17,9.0,9,yes,no,no,low_cost
661,1897,no,3.0,no,1,yes,21,0.5,192,8,2,1311.0,1935,273,17,6.0,3,yes,yes,yes,low_cost
662,1695,no,0.5,yes,6,yes,46,0.7,200,3,9,1791.0,1898,446,16,13.0,15,yes,yes,yes,medium_cost
663,1623,yes,1.2,no,6,yes,61,0.9,120,7,12,1568.0,1832,1510,12,10.0,17,yes,yes,no,high_cost
664,914,yes,0.5,no,0,yes,26,0.7,147,4,0,706.0,721,1122,12,9.0,2,yes,yes,yes,low_cost
665,1721,yes,0.5,yes,4,yes,33,0.5,128,4,5,871.0,1048,707,19,2.0,5,yes,yes,yes,low_cost
666,890,yes,2.2,yes,4,no,44,0.5,198,8,13,1074.0,1873,751,7,3.0,3,no,no,no,low_cost
667,600,no,0.5,no,1,no,48,0.8,191,3,7,501.0,1465,3393,12,7.0,8,yes,no,no,high_cost
668,1677,no,1.8,yes,4,no,11,0.7,124,6,8,271.0,1477,3771,15,6.0,12,yes,no,no,very_high_cost
669,723,no,0.5,no,0,yes,3,0.2,168,4,3,920.0,1748,1851,15,3.0,16,yes,no,no,medium_cost
670,638,no,1.7,yes,11,no,27,0.5,102,4,17,1171.0,1383,2735,7,2.0,9,yes,yes,no,high_cost
671,852,no,1.0,yes,4,yes,62,0.7,104,7,13,293.0,1159,2253,17,4.0,7,yes,yes,no,medium_cost
672,1979,yes,1.6,yes,0,no,32,0.2,165,7,1,833.0,1630,452,13,6.0,14,no,yes,no,low_cost
673,710,yes,0.5,no,6,no,32,0.8,151,5,9,485.0,857,1419,12,11.0,18,no,yes,no,low_cost
674,1034,no,2.6,yes,2,yes,45,0.3,190,3,4,182.0,1293,969,15,1.0,7,yes,no,no,low_cost
675,600,no,2.5,yes,8,yes,22,0.1,145,1,11,207.0,1162,3441,19,1.0,5,yes,no,no,high_cost
676,1027,no,0.5,no,2,yes,64,0.9,103,2,7,1698.0,1747,3786,17,12.0,12,yes,no,no,very_high_cost
677,1260,no,0.6,no,5,yes,13,1.0,106,6,6,165.0,736,2710,13,1.0,8,yes,yes,no,high_cost
678,1793,no,1.8,yes,10,no,12,0.5,169,6,17,1086.0,1418,3533,16,14.0,15,yes,yes,yes,very_high_cost
679,675,no,2.3,no,10,no,60,0.9,144,5,15,192.0,757,1735,7,5.616666666666666,13,yes,no,yes,low_cost
680,658,yes,2.7,no,0,yes,12,0.9,103,7,3,1156.0,1750,3587,14,11.0,20,yes,no,no,very_high_cost
681,1694,yes,0.6,no,0,yes,34,0.3,102,7,7,377.0,549,2298,17,5.0,2,yes,yes,no,high_cost
682,804,yes,0.8,yes,12,yes,41,0.9,89,1,13,709.0,818,2027,11,5.0,11,yes,no,no,medium_cost
683,1713,no,2.5,yes,1,no,27,0.9,127,7,3,729.0,974,2406,13,10.0,20,yes,no,yes,high_cost
684,706,no,0.5,no,13,yes,31,0.1,108,3,19,543.0,938,2419,8,7.0,4,yes,no,yes,medium_cost
685,1362,no,0.5,no,3,no,25,0.8,131,7,9,553.0,1505,995,7,6.0,18,no,yes,yes,low_cost
686,1527,no,2.7,no,10,yes,60,0.1,154,5,14,526.0,1116,2078,5,3.0,11,yes,yes,yes,high_cost
687,768,no,0.5,yes,0,no,19,0.9,159,2,1,637.0,991,1145,19,1.0,7,no,no,yes,low_cost
688,1314,no,2.9,yes,8,yes,41,0.1,155,4,12,113.0,577,626,10,4.0,4,yes,yes,yes,low_cost
689,705,yes,0.5,no,5,yes,57,0.9,155,6,9,1114.0,1374,1509,15,11.0,18,yes,yes,yes,medium_cost
690,1403,no,2.7,no,2,yes,26,0.1,164,5,3,461.0,1251,3371,13,9.0,9,yes,no,yes,very_high_cost
691,1486,no,2.6,no,7,no,52,0.1,85,4,15,1430.0,1747,297,13,1.0,15,no,yes,no,low_cost
692,781,no,1.1,no,2,no,38,0.4,198,5,7,304.0,1674,3508,13,8.0,5,no,no,yes,very_high_cost
693,986,yes,1.5,no,1,yes,23,0.8,183,8,3,471.0,800,2385,16,9.0,19,yes,no,no,medium_cost
694,1310,no,1.4,no,0,no,33,0.4,105,1,14,806.0,1016,1301,13,12.0,19,no,no,yes,medium_cost
695,560,yes,2.0,yes,6,yes,57,0.3,81,3,12,80.0,1327,2167,11,10.0,7,yes,no,yes,medium_cost
696,1348,no,1.3,no,0,no,43,0.4,116,5,6,204.0,501,3914,10,3.0,8,yes,no,yes,very_high_cost
697,1567,no,0.5,yes,3,no,22,0.5,119,6,6,545.0,1621,2312,9,1.0,18,yes,no,no,high_cost
698,1940,yes,0.9,yes,4,no,17,0.7,93,5,7,112.0,858,2297,14,6.0,8,no,yes,no,high_cost
699,1979,yes,2.9,yes,0,yes,19,1.0,176,3,9,1331.0,1532,411,8,2.0,2,yes,yes,yes,low_cost
700,561,yes,2.1,yes,7,yes,2,0.1,193,3,13,1055.0,1294,665,10,5.616666666666666,4,yes,yes,no,low_cost
701,1717,yes,1.3,no,1,no,62,0.7,130,1,3,609.0,810,3226,6,4.0,5,no,yes,no,very_high_cost
702,535,no,1.5,no,1,yes,48,0.7,113,1,4,290.0,811,740,11,10.0,18,yes,yes,no,low_cost
703,1413,no,0.5,yes,4,yes,39,0.1,185,5,12,1039.0,1318,3878,19,16.0,4,yes,no,no,very_high_cost
704,1358,no,2.5,yes,0,no,20,0.6,135,7,0,1485.0,1655,3406,5,1.0,11,no,no,yes,very_high_cost
705,1519,no,2.9,no,2,no,30,0.7,112,7,8,1122.0,1702,2440,9,5.0,10,yes,yes,yes,high_cost
706,1254,no,1.2,yes,2,no,50,0.7,108,5,6,462.0,1013,3959,10,4.0,17,yes,yes,no,very_high_cost
707,1591,yes,2.2,no,3,yes,49,0.4,154,6,7,1384.0,1883,3703,17,6.0,20,yes,yes,no,very_high_cost
708,977,yes,2.8,yes,2,no,35,0.6,165,2,15,1502.0,1862,3714,19,3.0,10,no,yes,yes,very_high_cost
709,1640,yes,0.7,no,10,yes,21,0.8,169,7,14,589.0,1301,337,16,3.0,5,yes,yes,no,low_cost
710,663,no,0.8,yes,0,no,25,0.6,183,2,1,82.0,1605,3176,6,2.0,2,yes,no,yes,high_cost
711,1744,yes,1.0,no,1,yes,20,0.5,112,8,3,68.0,718,1205,18,7.0,14,yes,no,no,medium_cost
712,1624,no,1.6,yes,8,no,28,0.4,150,2,10,689.0,699,2473,16,11.0,2,yes,no,no,high_cost
713,1108,yes,1.3,yes,14,yes,2,0.3,169,7,20,208.0,1742,1229,5,3.0,4,yes,yes,no,low_cost
714,1188,yes,1.4,yes,0,yes,9,0.6,114,2,0,1339.0,1558,2896,12,11.0,16,yes,no,yes,very_high_cost
715,817,no,1.3,no,0,no,11,0.5,144,3,11,722.0,766,2039,11,6.0,19,no,yes,no,medium_cost
716,863,no,1.6,yes,5,yes,6,0.7,133,4,13,717.0,1799,520,10,2.0,18,yes,no,yes,low_cost
717,1397,no,2.4,yes,5,yes,3,0.2,121,3,15,433.0,1658,1378,18,15.0,4,yes,yes,yes,medium_cost
718,1108,no,1.0,no,3,no,49,0.7,140,5,12,1298.0,1666,3254,12,5.616666666666666,16,yes,no,no,very_high_cost
719,1068,no,2.0,yes,1,yes,37,0.9,184,7,13,186.0,1998,1803,5,4.0,7,yes,no,no,medium_cost
720,1702,yes,2.3,no,12,yes,52,0.5,145,2,15,1397.0,1491,2501,16,12.0,4,yes,no,no,very_high_cost
721,808,no,0.5,yes,0,no,8,0.1,192,4,1,618.0,1891,3762,15,9.0,12,yes,no,yes,very_high_cost
722,1156,no,0.5,no,6,no,61,0.1,89,7,9,1214.0,1262,1796,16,6.0,13,no,yes,yes,medium_cost
723,1271,no,0.5,yes,2,no,54,0.1,159,8,3,613.0,650,990,14,11.0,6,no,yes,yes,low_cost
724,696,no,0.5,no,6,no,51,0.3,197,3,8,649.0,907,2630,18,8.0,9,no,no,yes,medium_cost
725,1981,yes,1.9,yes,13,no,45,0.3,175,6,18,193.0,1234,1380,10,1.0,13,no,yes,no,medium_cost
726,614,no,1.7,yes,0,yes,58,0.2,128,7,2,22.0,519,3487,15,6.0,11,yes,yes,yes,high_cost
727,1590,no,0.6,yes,0,no,7,0.3,122,3,17,1464.0,1595,1201,12,3.0,18,yes,yes,yes,medium_cost
728,1945,no,1.6,no,4,no,21,0.7,113,3,10,280.0,895,3015,6,1.0,15,no,no,no,very_high_cost
729,1135,yes,2.8,yes,9,no,43,0.4,158,1,11,690.0,1589,3204,18,13.0,6,yes,no,no,very_high_cost
730,1049,no,0.6,yes,8,yes,2,0.3,172,6,10,39.0,1564,433,10,7.0,6,yes,no,no,low_cost
731,1807,yes,2.1,no,2,no,49,0.8,125,1,10,337.0,1384,1906,17,13.0,13,no,yes,yes,high_cost
732,984,yes,0.5,no,13,yes,42,0.8,98,7,17,1036.0,1611,898,16,8.0,13,yes,yes,no,low_cost
733,720,yes,1.4,yes,0,yes,61,0.6,96,7,8,1347.0,1733,2799,5,3.0,15,yes,no,yes,very_high_cost
734,1536,no,0.8,no,12,no,13,0.3,105,7,20,22.0,1634,2020,6,5.616666666666666,16,yes,yes,no,high_cost
735,771,yes,0.5,no,3,no,25,1.0,86,4,6,327.0,922,770,12,1.0,20,no,yes,no,low_cost
736,503,no,2.5,no,3,no,57,0.6,185,6,11,778.0,1291,305,11,8.0,16,no,no,yes,low_cost
737,675,no,2.4,no,1,no,42,0.6,187,7,2,482.0,874,2953,9,5.0,13,yes,yes,no,high_cost
738,1936,yes,1.9,yes,13,yes,34,0.2,182,7,14,591.0,1089,1671,6,1.0,9,yes,no,yes,medium_cost
739,1303,no,1.0,yes,0,yes,15,0.1,138,3,10,229.0,1604,2574,12,4.0,14,yes,yes,yes,high_cost
740,1004,yes,2.9,yes,0,no,35,0.2,141,6,9,901.0,1162,3772,17,8.0,18,no,yes,yes,very_high_cost
741,1972,no,1.2,yes,0,no,37,0.7,102,2,1,715.0,1648,2870,16,5.616666666666666,17,no,no,no,very_high_cost
742,1822,no,1.2,no,0,no,8,0.2,195,6,0,172.0,910,2577,9,5.0,8,yes,yes,no,high_cost
743,1159,yes,2.8,no,5,yes,18,0.5,83,1,7,681.0,723,2246,8,1.0,3,yes,yes,no,medium_cost
744,1782,yes,2.8,yes,6,yes,58,0.8,157,1,13,867.0,999,2405,15,5.616666666666666,16,yes,no,yes,high_cost
745,894,no,2.1,yes,16,no,16,0.7,168,8,20,286.0,1300,3377,5,1.0,6,yes,yes,yes,high_cost
746,1884,no,2.1,yes,7,yes,43,0.8,185,1,18,451.0,819,3619,14,8.0,7,yes,yes,yes,very_high_cost
747,1648,yes,0.5,no,1,yes,17,0.9,142,2,3,1119.0,1238,1184,6,2.0,2,yes,no,yes,medium_cost
748,798,no,2.4,no,5,no,4,0.2,96,3,9,526.0,643,2965,15,7.0,14,yes,yes,no,high_cost
749,802,yes,2.4,yes,1,no,45,0.8,157,3,9,1299.0,1633,3713,8,3.0,8,no,no,no,very_high_cost
750,1276,yes,2.9,yes,2,no,53,0.3,130,2,3,217.0,735,3798,19,10.0,8,yes,yes,yes,very_high_cost
751,1331,yes,1.6,no,0,no,16,0.5,165,2,7,1109.0,1226,1026,13,5.0,20,yes,no,yes,medium_cost
752,1620,no,2.6,yes,6,no,5,0.9,186,6,18,434.0,1339,1086,18,14.0,13,yes,no,no,medium_cost
753,1996,no,2.5,no,5,yes,51,0.4,122,4,9,671.0,1445,2236,8,7.0,12,yes,no,yes,high_cost
754,1092,no,2.7,yes,8,no,45,0.8,185,1,10,1404.0,1424,1303,12,3.0,20,no,yes,yes,medium_cost
755,1018,yes,0.7,yes,7,no,63,0.1,155,5,18,856.0,883,3048,10,3.0,2,no,no,yes,high_cost
756,545,no,0.5,no,0,yes,11,0.3,131,3,1,381.0,1452,616,15,6.0,19,yes,yes,yes,low_cost
757,554,yes,1.3,no,0,no,12,0.1,105,6,10,85.0,806,3764,10,7.0,4,no,yes,yes,high_cost
758,1264,no,2.9,yes,2,yes,34,0.2,171,3,3,562.0,849,419,7,4.0,3,yes,yes,yes,low_cost
759,1030,no,1.6,yes,3,yes,58,0.2,138,6,20,1111.0,1812,2858,6,2.0,18,yes,yes,yes,very_high_cost
760,1432,yes,1.7,yes,6,yes,39,0.3,164,4,18,209.0,947,504,14,4.0,10,yes,yes,no,low_cost
761,558,yes,2.8,no,1,yes,49,0.8,142,5,4,997.0,1605,392,10,5.0,8,yes,yes,yes,low_cost
762,829,no,0.5,no,0,no,56,0.6,129,7,1,91.0,1916,820,12,6.0,11,yes,no,yes,low_cost
763,1741,yes,1.8,no,0,no,14,0.7,143,8,0,730.0,1895,3387,11,3.0,3,yes,no,no,very_high_cost
764,1849,yes,2.3,no,7,yes,15,0.4,144,5,19,606.0,1123,3447,14,11.0,19,yes,no,yes,very_high_cost
765,733,no,2.1,no,5,yes,7,0.2,174,7,10,445.0,1409,1403,15,8.0,2,yes,yes,no,low_cost
766,1872,yes,0.9,yes,0,no,16,0.5,80,2,2,286.0,1484,2295,15,11.0,16,no,no,yes,high_cost
767,1853,no,0.5,yes,1,no,27,0.3,197,6,13,985.0,1005,1973,10,2.0,8,yes,no,yes,high_cost
768,1149,yes,2.2,no,4,no,30,0.2,106,6,5,1617.0,1675,3755,17,14.0,8,yes,no,no,very_high_cost
769,891,no,0.5,yes,9,yes,25,0.3,196,2,19,375.0,1724,2073,7,1.0,10,yes,no,yes,medium_cost
770,1911,yes,2.0,no,7,yes,64,0.6,163,8,8,1795.0,1958,3872,9,8.0,11,yes,yes,no,very_high_cost
771,550,yes,0.5,no,16,yes,23,0.1,145,2,17,486.0,1930,302,18,5.0,8,yes,no,no,low_cost
772,576,no,0.8,no,0,yes,27,0.1,121,2,4,757.0,1518,1519,18,6.0,8,yes,no,yes,medium_cost
773,1760,no,1.9,no,1,yes,50,0.8,198,1,2,273.0,1704,2549,10,8.0,4,yes,yes,no,high_cost
774,969,no,2.4,no,0,no,45,0.3,124,7,0,491.0,589,404,18,5.0,19,yes,no,yes,low_cost
